Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Heart Points,Heart Minutes,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Dancing duration (ms),Treadmill running duration (ms),Swimming duration (ms),Yoga duration (ms)
2019-09-21,1823.2148865405102,5059.569512463291,42.3309061,-71.118717,42.3564201,-71.0358174,1.6882874568795452,20.685640335083008,0.17133766412734985,10767,,,,128,33.0,33,,66779081,6460795,,,,,
2019-09-22,1593.8385810746602,1518.1492525935173,42.3308862,-71.1233524,42.3429645,-71.1087632,1.3948897817634676,14.035372734069824,0.2464710772037506,4959,,,,59,9.0,9,,76325561,2285029,,,,,
2019-09-23,1794.1483670947166,6136.405720710754,42.3116241,-71.0690279,42.3594602,-71.0366377,1.1533072241045652,16.44049644470215,0.29393601417541504,10748,,,,129,42.0,42,568142,72217898,4785792,,,,,
2019-09-24,1952.2670419523376,7381.093082591891,42.3117445,-71.1216213,42.3589802,-71.0382143,1.1251423530013214,12.13648509979248,0.14684590697288513,16079,,,,180,65.0,61,,63127067,8816202,,,,,
2019-09-25,1749.4793850266587,5337.433507323265,42.3125712,-71.0721406,42.3612997,-71.0350251,1.24326334537469,15.36438274383545,0.2953576445579529,10319,,,,111,46.0,46,,75993758,5065665,,,,,
2019-09-26,1829.1546483440552,6529.782523989677,42.2481805,-71.1202708,42.3789709,-71.0017315,1.1325907062329854,19.523332595825195,0.28184956312179565,12119,,,,133,53.0,49,,67158683,6147025,165625,,,,
2019-09-27,1846.8237038990007,7589.028833389282,42.3124899,-71.118589,42.3743924,-71.0303784,1.0197801726505134,17.37041473388672,0.2946459650993347,15864,,,,187,63.0,63,,72056740,6898646,,,,,
2019-09-28,1842.2862826069747,6302.01861256361,42.3307774,-71.1218773,42.4131584,-70.9888717,1.5890310058859531,19.795930862426758,0.1204628124833107,13269,,,,156,46.0,46,,66637993,6784177,,,,,
2019-09-29,1597.7146192476935,1394.4296675175428,42.3415702,-71.1206129,42.3990765,-71.07178,2.242634686007772,28.428356170654297,0.27380993962287903,4707,,,,63,4.0,4,,73091139,2358964,,,,,
2019-09-30,1802.9020817769522,7208.6528931856155,42.3009612,-71.0592617,42.3592975,-71.0293075,1.080932657775751,30.459901809692383,0.2658218741416931,8751,,,,117,47.0,46,1334510,69127457,4675139,,,,,
2019-10-01,1882.4022361996042,6947.155127860606,42.3120778,-71.118536,42.3320815,-71.0380943,1.0647517347422952,16.9288387298584,0.18222667276859283,9439,,,,124,44.0,44,1164129,65162485,6302243,,,,,
2019-10-02,1759.5850092419037,5616.478963375092,42.3124026,-71.1458459,42.3746128,-71.0354279,1.44651967319115,21.661521911621094,0.26957371830940247,9528,,,,121,35.0,33,579433,72010480,4602717,,,,,
2019-10-03,1789.884660202202,6530.385839313269,42.3123304,-71.1230822,42.3791098,-71.0338732,1.0336391257237432,16.080785751342773,0.2470574826002121,11908,,,,164,50.0,46,818144,65639642,4850383,,,,,
2019-10-04,1881.9569943986442,6331.47682338953,42.3123718,-71.1192572,42.3693562,-71.0335505,1.2047812239762237,12.0600004196167,0.2893907129764557,13634,,,,175,46.0,44,,66936616,7457596,,,,,
2019-10-05,1894.633374799233,7591.111809332855,42.3309107,-71.1183631,42.3743223,-71.0305171,1.5260185664927928,38.301612854003906,0.2652858793735504,13955,,,,162,53.0,53,,71746677,7198476,189455,,,,
2019-10-06,1651.12877492242,2968.9320974349976,42.3310214,-71.1178028,42.3503212,-71.0775402,2.0523035523231687,18.43284034729004,0.29030245542526245,5970,,,,70,24.0,24,,79139377,3333258,,,,,
2019-10-07,1694.565310100821,3557.579553410411,42.2986734,-71.0515803,42.3321656,-71.0245319,0.9312252329416372,14.124261856079102,0.09014853835105896,8555,,,,94,31.0,31,,75081193,4122164,,,,,
2019-10-08,1775.6722102774497,4465.199888497591,42.3125871,-71.0513849,42.3209172,-71.0373285,1.6520615053297554,19.0578556060791,0.16204394400119781,6129,,,,87,27.0,27,685697,70823853,4832247,,,,,
2019-10-09,1765.691011724251,5527.180754899979,42.3118021,-71.1181434,42.3330633,-71.0356143,1.2482689916670688,12.029999732971191,0.2953576445579529,8079,,,,111,36.0,34,747527,72789592,4537529,,,,,
2019-10-10,1801.2216362892277,7518.543279916048,42.3119646,-71.1224589,42.3968107,-71.0365731,1.5662239524957076,26.457590103149414,0.24046464264392853,10157,,,,123,56.0,55,593340,69645063,5093565,72443,,,,
2019-10-11,1788.8963714323766,4681.300722241402,42.3131556,-71.0627051,42.3566291,-71.0356546,1.1414789098642428,17.3700008392334,0.26507607102394104,9984,,,,111,34.0,34,,57602220,5845912,,,,,
2019-10-12,1842.6648319014353,5807.429857775569,42.33116,-71.1577156,42.3646551,-71.09553,2.785948481729962,29.537193298339844,0.2749810218811035,13335,,,,170,37.0,35,,51344513,6734964,,,,,
2019-10-13,1643.1303305250221,2273.8186989426613,42.3308581,-71.1205061,42.3455329,-71.0954972,1.0488658302538945,14.02847671508789,0.25521227717399597,8546,,,,104,17.0,17,,71274884,3179234,,,,,
2019-10-14,1581.4108640842035,1538.5207448005676,42.3943139,-71.0825194,42.3948703,-71.0819609,1.5015586123109215,22.88559341430664,0.06011572480201721,4353,,,,51,8.0,8,,73359074,1874154,76986,,,,
2019-10-15,1718.7083284356986,4676.565266428515,42.3123514,-71.0513257,42.3204202,-71.0366056,1.7706511083998187,26.550443649291992,0.2906191945075989,7252,,,,88,34.0,32,542819,70783791,3393907,237736,,,,
2019-10-16,1788.410797264994,9204.083917915821,42.3065896,-71.1184303,42.3316531,-71.0332917,1.4250688593287582,20.425291061401367,0.2658218741416931,11036,,,,146,66.0,66,1049242,71029879,4347475,81108,,,,
2019-10-17,1644.322127462165,3456.168343067169,42.3129114,-71.1187958,42.3786671,-71.0356752,1.5959665656569313,17.687759399414062,0.288574755191803,8696,,,,103,31.0,29,,73548223,3172182,,,,,
2019-10-18,1724.563127854086,5518.894195795059,42.3125625,-71.1269605,42.3452184,-71.036987,0.8653186071476437,11.997511863708496,0.1079622209072113,9063,,,,117,32.0,31,529848,74451735,4017996,,,,,
2019-10-19,1769.9927843658788,4116.252817153931,42.3558736,-71.0704557,42.3958393,-71.0495507,1.7836538256273538,30.275367736816406,0.2582095265388489,11439,,,,140,26.0,26,,62156690,5427140,,,,,
2019-10-20,1531.824128877605,815.3952518999577,42.3121978,-71.114172,42.3233186,-71.1098974,1.4639943214967734,13.103836059570312,0.12067409604787827,3145,,,,36,2.0,2,,77299752,1101444,,,,,
2019-10-21,1749.2751113311492,5625.9676665738225,42.3117877,-71.1578601,42.364428,-71.0350665,1.7279764312309196,17.578786849975586,0.2860157787799835,12604,,,,171,38.0,37,537520,68745910,4518233,,,,,
2019-10-22,1709.6233328318194,5991.253728568554,42.3122951,-71.0522745,42.3208979,-71.0357273,1.7335402108438833,10.662649154663086,0.14004340767860413,9409,,,,124,36.0,33,591518,76117742,3762449,,,,,
