Book_ID,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Page_Number,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_With_Positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
17288907,A Really Awesome Mess,Trish Cook,"Cook, Trish",Brendan Halpin,1606843648,9781606843642,1,3.61,EgmontUSA,ebook,288,2013,2013,6/21/2014,6/21/2014,,,read,"Coincidentally, I didn't decide to read this book for anything other than the adopted Asian girl heroine, and funnily enough, it was the one part of the book that to me (not to mention many of the OTHER offensive things) was the absolute worst.<br/><br/>This book did not accurately portray a relationship between an adopted child and parent. Emmy felt throughout her life ""overshadowed"" by the fact that she appeared differently than the rest of her family, and her family did nothing to combat this or even ask about her feelings until she went into therapy. I'm Asian-adopted-American, and let me tell you, that's not how it works. I wouldn't say it was the family's fault, I would say it's the author's fault for not understanding how adoption works. At the Adoption Issues group Emmy attended they made her insecure about her adoption, and for some reason it was really hard for me to read, because, especially if you've grown up with your adoptive parents since you were a baby, that's not how it feels. This book might lead others to make assumptions about adopted people. I didn't feel like shining such an intense spotlight on Emmy's adoption really added to the plot at all. So you fail at trying to make diversity happen.<br/><br/>And don't get me started on her anorexia that was consistently mocked.<br/><br/>Furthermore, as other reviewers have mentioned, the racist, rape, and homophobic jokes weren't really ""jokes"" more like something people could REALLY take offense at. (I am a bisexual feminist. I took a LOT of offense at the ""jokes"" contained in this book.) I think the plot was highly unrealistic, the characters were pretty one-dimensional, and the Academy was ridiculous in its leniency and ABSOLUTE CRUELTY to all the people, who I might add are SUICIDAL, ANOREXIC, or ADDICTS.<br/><br/>All in all, I thought I was going in for a great book about (finally!) an Asian Adopted American heroine, but to be honest, this book left a lot to be desired. I wouldn't recommend this book to ANYONE EVER.",,,1,,,0,,,,,
18122,"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,"Pullman, Philip",,0440238153,9780440238157,3,4.09,Laurel Leaf,Mass Market Paperback,467,2003,2000,1/2/2014,7/20/2014,,,read,,,,1,,,0,,,,,
12384984,See You at Harry's,Jo Knowles,"Knowles, Jo",,0763654078,9780763654078,3,4.12,Candlewick Press,Hardcover,310,2012,2012,8/27/2015,8/27/2015,,,read,,,,1,,,0,,,,,
13132816,Emmy & Oliver,Robin Benway,"Benway, Robin",,,,3,3.91,HarperTeen,Kindle Edition,352,2015,2015,8/27/2015,8/27/2015,,,read,Cue bland heterosexual romance with an unsatisfying ending.,,,1,,,0,,,,,
207684,Jinx,Meg Cabot,"Cabot, Meg",,0060837640,9780060837648,1,3.71,Harper Teen,Hardcover,262,2007,2007,,8/23/2015,,,read,,,,1,,,0,,,,,
954001,"How They Met, and Other Stories",David Levithan,"Levithan, David",,037584886X,9780375848865,4,3.76,Knopf Books for Young Readers,Hardcover,244,2008,2008,8/23/2015,8/23/2015,,,read,,,,1,,,0,,,,,
6493208,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Skloot, Rebecca",,1400052173,9781400052172,5,4.06,Crown Publishing Group,Hardcover,370,2010,2010,8/23/2015,8/5/2015,,,read,,,,1,,,0,,,,,
12843717,The Letter Q: Queer Writers' Notes to their Younger Selves,Sarah Moon,"Moon, Sarah","James Lecesne, Armistead Maupin, Michael Cunningham, Jacqueline Woodson, Mayra Lazara Dole, Amy Bloom, Gregory Maguire, David Levithan, Rakesh Satyal, Eileen Myles, Jasika Nicole, Doug Wright, Stacey D'Erasmo, Jennifer Camper, Erik Orrantia, Brian Selznick, Malinda Lo, Richard McCann, Ali Liebegott, Linda Villarosa, Paul Rudnick, Eric Orner, Lucy Jane Bledsoe, Tony Valenzuela, Christopher  Rice, Jewelle L. Gómez, Bill Clegg, Erika Moen, David Leavitt, LaShonda Katrice Barnett, Howard Cruse, Michael DiMotta, Terrence McNally, Brent Hartinger, Susan Stinson, Marc Wolf, Julie Anne Peters, Lucy Knisley, Nick Burd, Paula Gilovich, Colman Domingo, Marion Dane Bauer, Lucy Thurber, Paige Braddock, Melanie Braverman, Michael Nava, Martin  Moran, Bruce Coville, Bill Wright",0545399327,9780545399326,5,3.94,Arthur A. Levine Books,Hardcover,281,2012,2012,7/14/2015,7/26/2014,,,read,,,,1,,,0,,,,,
522782,Parrotfish,Ellen Wittlinger,"Wittlinger, Ellen",,1416916229,9781416916222,4,3.73,Simon  Schuster Books for Young Readers,Hardcover,294,2007,2007,7/5/2015,7/13/2015,,,read,,,,1,,,0,,,,,
22736613,Hold Me Closer: The Tiny Cooper Story,David Levithan,"Levithan, David",,0525428844,9780525428848,2,3.6,Dutton Juvenile,Hardcover,208,2015,2015,7/14/2015,7/13/2015,,,read,,,,1,,,0,,,,,
