home,destination,time_home,time_brookline_village,time_green_line,time_at_park,time_red_line,time_jfk_umb,time_umb,walk_or_shuttle,delayed_mbta,late,Notes,GENERAL THOUGHTS
10/25/2019,school,7:50,7:53,NA,8:18,NA,8:30,8:43,NA,N,N,,
10/25/2019,home,5:29,5:26,5:05,5:00,NA,4:42,4:32,shuttle,N,N,,
10/28/2019,school,7:47,7:51,8:02,8:25,8:34,8:46,8:59,shuttle,N,Y,,
10/28/2019,home,6:20,6:17,5:49,5:47,5:33,5:30,5:23,shuttle,N,NA,,
10/29/2019,school,7:53,7:58,8:03,8:29,8:31,8:43,8:53,shuttle,N,NA,,
10/30/2019,school,7:48,7:51,7:52,8:21,8:24,8:35,8:47,bike,N,NA,,
10/30/2019,home,6:44,6:41,6:13,6:06,5:53,5:53,5:38,?,N,NA,,
10/31/2019,home,6:51,6:48,6:27,6:25,6:13,6:11,6:03,shuttle,,,,
11/1/2019,school,7:44,7:47,NA,8:26,8:36,8:50,9:00,shuttle,Y,Y,"delayed, shuttle bus to kenmore used",
11/4/2019,school,7:47,7:50,7:57,8:21,8:23,8:33,8:47,shuttle & biked,N,N,,
11/4/2019,home,NA,NA,NA,NA,5:18,5:14,5:02,shuttle,N,NA,,
11/5/2019,school,7:41,7:45,7:51,8:19,8:22,8:33,NA,walk & bike,N,N,,
11/5/2019,home,6:22,6:17,5:59,5:57,5:43,5:37,5:26,shuttle,N,NA,,
11/6/2019,school,7:47,7:50,7:55,8:21,8:25,8:37,8:49,walk & bike,N,N,,
11/7/2019,home,6:53,6:50,6:29,6:28,6:17,6:12,6:05,shuttle,N,N,,
11/7/2019,school,2:43,2:46,2:47,3:22,3:23,3:35,3:50,shuttle,N,N,,
11/6/2019,home,NA,NA,NA,5:41,5:26,5:26,5:15,shuttle,N,N,,
11/8/2019,school,7:37,7:40,NA,8:18,8:21,NA,NA,bike,N,N,,
11/8/2019,home,5:36,5:33,5:11,5:01,4:47,4:38,4:30,shuttle,N,NA,,
11/11/2019,school,3:18,3:21,3:21,3:40,3:41,NA,NA,NA,N,NA,,
11/12/2019,school,7:41,7:44,7:50,8:14,8:16,8:27,8:37,bike,N,N,,
11/12/2019,home,NA,NA,5:49,5:42,5:30,5:29,5:18,shuttle,N,NA,,
11/13/2019,school,7:44,7:47,7:50,8:14,8:17,8:29,8:39,shuttle,N,N,,
11/13/2019,home,3:55,3:51,3:32,3:25,3:13,3:13,2:57,shuttle,N,NA,,
11/14/2019,school,NA,NA,NA,NA,3:25,3:39,NA,NA,N,N,,
11/15/2019,school,7:31,7:34,7:34,7:55,NA,8:08,8:18,shuttle,N,N,,
11/14/2019,home,NA,NA,NA,5:51,5:37,5:34,5:25,shuttle,N,NA,,
11/18/2019,school,8:57,9:00,9:00,9:23,9:31,9:45,9:54,shuttle,N,N,,
11/15/2019,home,6:05,6:02,5:35,5:30,5:18,5:17,5:08,shuttle,N,NA,,
11/19/2019,school,7:46,7:48,7:50,8:12,8:13,8:23,8:32,shuttle,N,N,,
